IT Tower,Service Family,Service Type,Service Sub Type,Service Usage Type,Product Code,Usage Type, [lineItem/Operation],lineItem/LineItemDescription
Cloud Services,Security and Identity,Amazon Macie,Data Protection,Data Protection,AmazonMacie,,,
Cloud Services,Analytics,Amazon MSK,Additional Costs,Tax,AmazonMSK,,,Tax%
Cloud Services,Application Services,Amazon MSK,Run Broker,Run Broker,AmazonMSK,,RunBroker,
Storage,Storage&Content Delivery,Amazon MSK,Storage,Storage GP2,AmazonMSK,%Storage.GP2,,
Networking,Networking,Amazon MSK,Data Transfer,Data Transfer/Bytes?,AmazonMSK,%Bytes,,
Cloud Services,Artificial Intelligence,Amazon Polly,Text-to-speech,Text-to-speech,AmazonPolly,,,
Cloud Services,Artificial Intelligence,Amazon Personalize,Additional Costs,Tax,AmazonPersonalize,,,Tax%
Cloud Services,Artificial Intelligence,Amazon Personalize,Real-Time Inference,TPS-hours,AmazonPersonalize,%TPS-hours,,
Cloud Services,Artificial Intelligence,Amazon Personalize,Training,Training Hour,AmazonPersonalize,%TrainingHour,,
Cloud Services,Artificial Intelligence,Amazon Personalize,Data Ingestion,Data Ingestion,AmazonPersonalize,%DataIngestion,,
Storage,Storage&Content Delivery,Amazon S3,Data Transfer,Data Transfer,AmazonS3,%DataTransfer%,,
Storage,Storage&Content Delivery,Amazon S3,Data Transfer,Bytes,AmazonS3,%AWS-%ytes,,
Storage,Storage&Content Delivery,Amazon S3,Data Transfer,Data xfer,AmazonS3,%DataXfer%,,
Storage,Storage&Content Delivery,Amazon S3,Retrieval,Retrieval-Bytes,AmazonS3,%Retrieval-Bytes%,,
Storage,Storage&Content Delivery,Amazon S3,Reduced Redundancy,Bytes,AmazonS3,%S3RTC%-Bytes%,,
Storage,Storage&Content Delivery,Amazon S3,Retrieval,Retrieval-ZIA,AmazonS3,%Retrieval-ZIA,,
Networking,Networking,Amazon S3,Data Transfer,Bytes,AmazonS3,%CloudFront%Bytes,,
Storage,Storage&Content Delivery,Amazon S3,Additional Costs,Tax,AmazonS3%,,,Tax%
Storage,Storage&Content Delivery,Amazon S3,Retrieval,Retrieval-SIA,AmazonS3,%Retrieval-SIA%,,
Storage,Storage&Content Delivery,Amazon S3,Storage,Byte Hours,AmazonS3,%TimedStorage-ByteHrs,,
Storage,Storage&Content Delivery,Amazon S3,Glacier,Glacier Byte Hours,AmazonS3,%TimedStorage-GlacierByteHrs,,
Storage,Storage&Content Delivery,Amazon S3,Glacier,Glacier Staging Storage,AmazonS3,%TimedStorage-GlacierStaging,,
Storage,Storage&Content Delivery,Amazon S3,Glacier Deep Archive,GDA Byte Hours,AmazonS3,%TimedStorage-GDA-ByteHrs,,
Storage,Storage&Content Delivery,Amazon S3,Glacier Deep Archive,GDA Staging Storage,AmazonS3,%TimedStorage-GDA-Staging,,
Storage,Storage&Content Delivery,Amazon S3,Intelligent-Tiering (Frequent Access),INT-FA Byte Hours,AmazonS3,%TimedStorage-INT-FA-ByteHrs,,
Storage,Storage&Content Delivery,Amazon S3,Intelligent-Tiering (Infrequent Access),INT-IA Byte Hours,AmazonS3,%TimedStorage-INT-IA-ByteHrs,,
Storage,Storage&Content Delivery,Amazon S3,Reduced Redundancy Storage,RRS Byte Hours,AmazonS3,%TimedStorage-RRS-ByteHrs,,
Storage,Storage&Content Delivery,Amazon S3,Glacier Instant Access,Byte Hours,AmazonS3,%TimedStorage-ZIA%,,
Storage,Storage&Content Delivery,Amazon S3,Standard - Infrequent Access,Byte Hours,AmazonS3,%TimedStorage-SIA%,,
Storage,Storage&Content Delivery,Amazon S3,Management/Monitoring,Monitoring-Automation,AmazonS3,%Monitoring-Automation-INT,,
Storage,Storage&Content Delivery,Amazon S3,Early Delete,Early Delete (GDA) Fee,AmazonS3,%EarlyDelete-GDA,,
Storage,Storage&Content Delivery,Amazon S3,Early Delete,EarlyDelete-INT,AmazonS3,%EarlyDelete-INT,,
Storage,Storage&Content Delivery,Amazon S3,Early Delete,Early Delete (ZIA) Fee,AmazonS3,%EarlyDelete-ZIA%,,
Storage,Storage&Content Delivery,Amazon S3,Early Delete,Early Delete (SIA) Fee,AmazonS3,%EarlyDelete-SIA%,,
Storage,Storage&Content Delivery,Amazon S3,Requests,Tier 1 Requests,AmazonS3,%Requests%Tier1,,
Storage,Storage&Content Delivery,Amazon S3,Requests,Tier 2 Requests,AmazonS3,%Requests%Tier2,,
Storage,Storage&Content Delivery,Amazon S3,Requests,Tier 3 Requests,AmazonS3,%Requests%Tier3,,
Storage,Storage&Content Delivery,Amazon S3,Requests,Tier 4 Requests,AmazonS3,%Requests%Tier4,,
Storage,Storage&Content Delivery,Amazon S3,Requests,Tier 5 Requests,AmazonS3,%Requests%Tier5,,
Storage,Storage&Content Delivery,Amazon S3,Requests,Tier 6 Requests,AmazonS3,%Requests%Tier6,,
Storage,Storage&Content Delivery,Amazon S3,Storage Metadata,Tag Storage Hours ,AmazonS3,%TagStorage-TagHrs%,,
Storage,Storage&Content Delivery,Amazon S3,Management/Monitoring,Inventory Objects Listed,AmazonS3,%Inventory-ObjectsListed,,
Storage,Storage&Content Delivery,Amazon S3,Operations,Batch Operations ,AmazonS3,BatchOperations%,,
Storage,Storage&Content Delivery,Amazon S3,Early Delete,Early Delete Fee,AmazonS3,%EarlyDelete-ByteHrs%,,
Cloud Services,Analytics,Amazon OpenSearch Service,Additional Costs,Tax,AmazonES,,,Tax%
Networking,Networking,Amazon OpenSearch Service,Data Transfer,Bytes,AmazonES,%DataTransfer%Bytes,,
Networking,Networking,Amazon OpenSearch Service,Data Transfer,Bytes  ,AmazonES,%AWS%Bytes,,
Storage,Storage&Content Delivery,Amazon OpenSearch Service,Storage,GP2 Storage ,AmazonES,%ES:GP2-Storage%,,
Storage,Storage&Content Delivery,Amazon OpenSearch Service,Storage,Magnetic-Storage GB-Month,AmazonES,%ES:Magnetic-Storage,,
Cloud Services,Analytics,Amazon OpenSearch Service,Compute,Instance Hours,AmazonES,%ESInstance%,,
Cloud Services,Analytics,Amazon OpenSearch Service,Reserved Instance,RI Usage Fee ,AmazonES,%HeavyUsage%,,
Storage,Storage&Content Delivery,Amazon OpenSearch Service,Storage,PIOPS-month,AmazonES,%PIOPS%,,
Networking,Networking,Amazon S3,Data Transfer,Data Transfer,AmazonES,%CloudFront%,,