IT Tower;Service Family;Service Type;Service Sub Type;Service Usage Type;Meter Category;Meter Sub-Category;Meter Name;Consumed Service;;
;;;;;SQL Database;;Database Units%;Database;;
;;;;;SQL Database;LTR Backup Storage;Data Stored;;;
;;;;;SQL Database;Managed Instance%;;Microsoft.Sql;;
;;;;;SQL Database;Single/Elastic Pool%;vCore;Microsoft.Sql;;
;;;;;SQL Database;Elastic Pool%;eDTUs;Microsoft.Sql;;
;;;;;SQL Database;SingleDB Hyperscale%;vCore;Microsoft.Sql;;
;;;;;SQL Database;Single%;%DTUs;Microsoft.Sql;;
;;;;;SQL Database;Compute Reservation;Usage;Microsoft.Sql;%SLO_: _MIBC%G5%;
;;;;;SQL Database;Compute Reservation;Usage;Microsoft.Sql;%SLO_: _MIGP%G5%;
;;;;;SQL Database;;;Microsoft.Sql;;
;;;;;SQL Data Warehouse;%Storage;;Microsoft.Sql;;
;;;;;Storage;;;Microsoft.Sql;;
;;;;;Storage;;;microsoft._ackup;;
;;;;;Storage;;;Microsoft.RecoveryServices;;
;;;;;Storage;;;%_torage%;;
;;;;;Storage;;;Microsoft.Compute;;
;;;;;Storage;;;Microsoft.MachineLearningServices;;
;;;;;Storage;;;Microsoft.Batch;;
;;;;;Virtual Machines Licenses;;;;;
;;;;;Virtual Machines;Red Hat Enterprise Linux%;Compute Hours;%Compute;;
;;;;;Virtual Machines;SQL Server%;Compute Hours;;;
;;;;;Virtual Machines;BizTalk Server;Compute Hours;%Compute;;
;;;;;Virtual Machines;BizTalk Server Standard%;Compute Hours;%Compute;;
;;;;;Virtual Machines;Java Development Environment%;Compute Hours;Unassigned;;
;;;;;Virtual Machines;Reservation%;Compute Hours;%Compute;;
;;;;;Visual Studio;Team Services;Users;;;
;;;;;Visual Studio;Build and Deployment;Private Agents;;;
;;;;;Visual Studio;Build and Deployment;Hosted Agents;;;
;;;;;Visual Studio;Application Insights;;microsoft.insights;;
;;;;;Websites;Web Sites;Free Web Sites;Microsoft.Web;;
;;;;;Websites;;%Hours;Microsoft.Web;;
;;;;;Websites;Web Sites;IP SSL;Microsoft.Web;;
;;;;;Azure Data Factory v2;;Cloud Data Movement;Microsoft.DataFactory;;
;;;;;Azure Data Factory v2;;Cloud Orchestration Activity Run;Microsoft.DataFactory;;
;;;;;Azure Data Factory v2;;Cloud Pipeline Activity External IR;Microsoft.DataFactory;;
;;;;;Azure Data Factory v2;;Cloud Pipeline Activity IR;Microsoft.DataFactory;;
;;;;;Azure Data Factory v2;;Monitoring Operations;Microsoft.DataFactory;;
;;;;;Azure Data Factory v2;;Read Write Operations;Microsoft.DataFactory;;