IT Tower,Service Family,Service Type,Service Sub Type,Service Usage Type,Meter Category,Meter Sub-Category,Meter Name,Consumed Service,
Cloud Services,Analytics,Azure SQL Database,Single Database,Database Units,SQL Database,,Database Units%,Database,
Cloud Services,Analytics,Azure SQL Database,LTR Backup Storage,Data Stored,SQL Database,LTR Backup Storage,Data Stored,,
Cloud Services,Analytics,Azure SQL Database,Managed Instance,vCore,SQL Database,Managed Instance%,,Microsoft.Sql,
Cloud Services,Analytics,Azure SQL Database,Single/Elastic Pool,vCore,SQL Database,Single/Elastic Pool%,vCore,Microsoft.Sql,
Cloud Services,Analytics,Azure SQL Database,Elastic Pool,eDTUs,SQL Database,Elastic Pool%,eDTUs,Microsoft.Sql,
Cloud Services,Analytics,Azure SQL Database,SingleDB Hyperscale,vCore,SQL Database,SingleDB Hyperscale%,vCore,Microsoft.Sql,
Cloud Services,Analytics,Azure SQL Database,Single Database,DTUs,SQL Database,Single%,%DTUs,Microsoft.Sql,
Cloud Services,Analytics,Azure SQL Database,Compute Reservation,Usage,SQL Database,Compute Reservation,Usage,Microsoft.Sql,%SLO_: _MIBC%G5%
Cloud Services,Analytics,Azure SQL Database,Compute Reservation,Usage,SQL Database,Compute Reservation,Usage,Microsoft.Sql,%SLO_: _MIGP%G5%
Cloud Services,Analytics,Azure SQL Database,General Purpose,Service,SQL Database,,,Microsoft.Sql,
Cloud Services,Analytics,Azure Synapse Analytics,Data Warehouse Storage,Storage,SQL Data Warehouse,%Storage,,Microsoft.Sql,
Storage,Storage & Content Delivery,Azure Storage,General Purpose,Storage,Storage,,,Microsoft.Sql,
Storage,Storage & Content Delivery,Azure Backup,Backup Storage,Storage,Storage,,,microsoft._ackup,
Storage,Storage & Content Delivery,Azure Recovery Services Vault,Backup Storage,Storage,Storage,,,Microsoft.RecoveryServices,
Storage,Storage & Content Delivery,Azure Storage,General Purpose,Storage,Storage,,,%_torage%,
Storage,Storage & Content Delivery,Azure Managed Disks,Disks,Storage,Storage,,,Microsoft.Compute,
Storage,Storage & Content Delivery,Azure Machine Learning,Workspace Storage,Storage,Storage,,,Microsoft.MachineLearningServices,
Storage,Storage & Content Delivery,Azure Batch,Account Storage,Storage,Storage,,,Microsoft.Batch,
Cloud Services,Application Services,Azure Virtual Machines,Licenses,License Fee,Virtual Machines Licenses,,,,
Compute,Compute,Azure Virtual Machines,Red Hat Enterprise Linux,Compute Hours,Virtual Machines,Red Hat Enterprise Linux%,Compute Hours,%Compute,
Compute,Compute,Azure Virtual Machines,SQL Server,Compute Hours,Virtual Machines,SQL Server%,Compute Hours,,
Compute,Compute,Azure Virtual Machines,BizTalk Server,Compute Hours,Virtual Machines,BizTalk Server,Compute Hours,%Compute,
Compute,Compute,Azure Virtual Machines,BizTalk Server Standard,Compute Hours,Virtual Machines,BizTalk Server Standard%,Compute Hours,%Compute,
Compute,Compute,Azure Virtual Machines,Java Development Environment,Compute Hours,Virtual Machines,Java Development Environment%,Compute Hours,Unassigned,
Compute,Compute,Azure Virtual Machines,Reservation,Compute Hours,Virtual Machines,Reservation%,Compute Hours,%Compute,
Cloud Services,Application Services,Visual Studio Team Services,Team Services,Users,Visual Studio,Team Services,Users,,
Cloud Services,Application Services,Visual Studio Team Services,Build and Deployment,Private Agents,Visual Studio,Build and Deployment,Private Agents,,
Cloud Services,Application Services,Visual Studio Team Services,Build and Deployment,Hosted Agents,Visual Studio,Build and Deployment,Hosted Agents,,
Cloud Services,Application Services,Azure Application Insights,Monitoring,Insights,Visual Studio,Application Insights,,microsoft.insights,
Cloud Services,Application Services,Azure App Service,Web Sites,Free Tier,Websites,Web Sites,Free Web Sites,Microsoft.Web,
Cloud Services,Application Services,Azure App Service,Web Sites,Hours,Websites,,%Hours,Microsoft.Web,
Cloud Services,Application Services,Azure App Service,Web Sites,IP SSL,Websites,Web Sites,IP SSL,Microsoft.Web,
Cloud Services,Analytics,Azure Data Factory v2,Data Movement,Cloud Data Movement,Azure Data Factory v2,,Cloud Data Movement,Microsoft.DataFactory,
Cloud Services,Analytics,Azure Data Factory v2,Orchestration,Activity Run,Azure Data Factory v2,,Cloud Orchestration Activity Run,Microsoft.DataFactory,
Cloud Services,Analytics,Azure Data Factory v2,Pipeline Activity,External IR Usage,Azure Data Factory v2,,Cloud Pipeline Activity External IR,Microsoft.DataFactory,
Cloud Services,Analytics,Azure Data Factory v2,Pipeline Activity,IR Usage,Azure Data Factory v2,,Cloud Pipeline Activity IR,Microsoft.DataFactory,
Cloud Services,Analytics,Azure Data Factory v2,Monitoring,Operations,Azure Data Factory v2,,Monitoring Operations,Microsoft.DataFactory,
Cloud Services,Analytics,Azure Data Factory v2,Operations,Read/Write,Azure Data Factory v2,,Read Write Operations,Microsoft.DataFactory,